group1,group2,meandiff,p-adj,lower,upper,reject
densenet121,efficientnet_b3,0.0942,0.0,0.0442,0.1443,True
densenet121,mobilenet_v3_large,0.0955,0.0,0.0454,0.1455,True
densenet121,resnet50,0.0676,0.0022,0.0175,0.1176,True
densenet121,swin_t,0.02,0.8111,-0.03,0.07,False
efficientnet_b3,mobilenet_v3_large,0.0012,1.0,-0.0488,0.0513,False
efficientnet_b3,resnet50,-0.0267,0.591,-0.0767,0.0234,False
efficientnet_b3,swin_t,-0.0742,0.0005,-0.1243,-0.0242,True
mobilenet_v3_large,resnet50,-0.0279,0.5477,-0.078,0.0221,False
mobilenet_v3_large,swin_t,-0.0755,0.0004,-0.1255,-0.0254,True
resnet50,swin_t,-0.0476,0.0717,-0.0976,0.0025,False
